"id","user_id","ratable_id","ratable_type","rating","created_at","updated_at","comment"
"142","26","20435","Product","5","2013-12-18 17:51:19","2013-12-18 17:51:19","The best of both worlds, from a taste point of view."
"143","26","20445","Product","5","2013-12-18 17:52:19","2013-12-18 17:52:19","This is a stunner with several big fans in my family."
"144","26","20432","Product","3","2013-12-18 17:55:49","2013-12-18 17:55:49","In order to avoid running afoul of the regulators, GTs made this one non-alcoholic but with a GMO soy starter."
"145","26","20444","Product","5","2013-12-18 17:57:01","2013-12-18 17:57:01","This completely rocks. Bursting with antioxidants!"
"146","357","21176","Product","5","2013-12-19 05:24:00","2013-12-19 05:24:00",NULL
"147","358","20412","Product","5","2013-12-19 18:52:30","2013-12-19 18:52:30","I use it every day! One teaspoon unless I'm sick or feeling down then two or three."
"148","194","21188","Product","5","2013-12-19 20:44:52","2013-12-19 20:44:52","Tasty"
"149","365","17843","Product","5","2013-12-20 01:09:51","2013-12-20 01:09:51","So delicious!"
"150","389","23840","Product","5","2013-12-21 03:33:21","2013-12-21 03:33:21",NULL
"151","389","23846","Product","5","2013-12-21 03:38:55","2013-12-21 03:38:55",NULL
"152","389","23845","Product","5","2013-12-21 03:39:05","2013-12-21 03:39:05",NULL
"153","389","21176","Product","5","2013-12-21 03:40:03","2013-12-21 03:40:03",NULL
"154","394","27698","Product","5","2013-12-21 14:55:02","2013-12-21 14:55:02",NULL
"155","394","27421","Product","5","2013-12-21 14:59:27","2013-12-21 14:59:27",NULL
"156","401","17416","Product","4","2013-12-21 21:21:35","2013-12-21 21:21:35","It is a delicious cheese"
"157","402","21176","Product","5","2013-12-21 22:12:02","2013-12-21 22:12:02",NULL
"158","333","21065","Product","5","2013-12-22 01:15:07","2013-12-22 01:15:07",NULL
"159","384","22363","Product","5","2013-12-22 13:07:01","2013-12-22 13:07:01","I love the rich flavor of this cheese
"
"160","408","17992","Product","5","2013-12-22 14:31:39","2013-12-22 14:31:39","Really good olive oil
"
"161","422","28326","Product","5","2013-12-22 23:05:32","2013-12-22 23:05:32",NULL
"162","438","24930","Product","5","2013-12-23 20:07:53","2013-12-23 20:07:53","Love the chicken bone broth!"
"163","439","26856","Product","5","2013-12-23 20:17:01","2013-12-23 20:17:01","So good for an occasional splurge!"
"164","455","23844","Product","5","2013-12-23 23:55:15","2013-12-23 23:55:15",NULL
"165","457","23840","Product","5","2013-12-24 01:08:21","2013-12-24 01:08:21",NULL
"166","460","17982","Product","4","2013-12-24 03:04:09","2013-12-24 03:04:09",NULL
"167","460","17983","Product","4","2013-12-24 03:04:16","2013-12-24 03:04:16",NULL
"168","460","17586","Product","5","2013-12-24 03:06:56","2013-12-24 03:06:56",NULL
"169","460","17587","Product","5","2013-12-24 03:07:07","2013-12-24 03:07:07",NULL
"170","466","24015","Product","5","2013-12-24 06:30:12","2013-12-24 06:30:12","Best grocery store eggs by far. But you can do even better cost and freshness wise at the farmers market,"
"171","466","21456","Product","5","2013-12-24 06:32:48","2013-12-24 06:32:48","Very bright orange yolk, lovely eggs. I left mesg w their office regarding which farmers market they sell at, but didn't get a response. I guess they are busy w their chickens."
"172","466","16744","Product","5","2013-12-24 06:35:15","2013-12-24 06:35:15","Very good grocery store eggs, just not organic. I use to buy this every week along w a pack of pasture verde eggs which is from the same company but it's organic. Alfresco often was even better in terms of yolk being more orange."
"173","466","18184","Product","5","2013-12-24 06:40:58","2013-12-24 06:40:58","I buy a case of this cow milk for my kids every week. Mother's Market offers us 10% discount for ordering a case. More creamy than Organic Pasture as this farm is mostly Jersey cows I believe. The goat milk is good too. Their cream is great."
"174","466","25266","Product","5","2013-12-24 06:45:42","2013-12-24 06:45:42","The taste of their milk is phenomenal, better than Claravale and Organic Pastures. Too bad they don't offer it raw. "
"175","376","21065","Product","4","2013-12-24 07:50:10","2013-12-24 07:50:10",NULL
